,x,y,z
436,1289522.75,-4670298.0,4134180.5
437,1289514.875,-4670298.5,4134181.5
438,1289522.375,-4670298.0,4134180.5
439,1289485.625,-4670300.0,4134184.25
440,1289522.125,-4670298.0,4134180.5
441,1289497.625,-4670299.5,4134184.25
442,1289521.375,-4670298.0,4134180.5
443,1289520.375,-4670298.5,4134180.5
444,1289519.125,-4670298.5,4134180.75
445,1289485.875,-4670300.0,4134189.75
446,1289515.75,-4670298.5,4134180.75
447,1289523.0,-4670298.0,4134180.5
448,1289515.125,-4670298.5,4134181.0
449,1289522.75,-4670298.0,4134180.5
450,1289485.625,-4670300.0,4134183.0
451,1289522.375,-4670298.0,4134180.5
452,1289514.5,-4670298.5,4134181.75
453,1289522.125,-4670298.0,4134180.5
454,1289521.375,-4670298.0,4134180.5
455,1289520.125,-4670298.5,4134180.5
456,1289517.875,-4670298.5,4134180.5
457,1289515.75,-4670298.5,4134180.75
458,1289523.0,-4670298.0,4134180.5
459,1289515.25,-4670298.5,4134181.0
460,1289522.75,-4670298.0,4134180.5
461,1289513.0,-4670298.5,4134181.5
462,1289522.5,-4670298.0,4134180.5
463,1289522.0,-4670298.0,4134180.5
464,1289521.375,-4670298.0,4134180.5
465,1289520.125,-4670298.0,4134180.5
466,1289517.875,-4670298.5,4134180.5
467,1289515.375,-4670298.5,4134180.75
468,1289523.0,-4670298.0,4134180.5
469,1289515.125,-4670298.5,4134181.0
470,1289522.75,-4670298.0,4134180.5
471,1289514.75,-4670298.5,4134181.5
472,1289522.5,-4670298.0,4134180.5
473,1289522.0,-4670298.0,4134180.5
474,1289498.25,-4670299.0,4134184.25
475,1289521.375,-4670298.0,4134180.5
476,1289520.125,-4670298.0,4134180.5
477,1289517.875,-4670298.5,4134180.5
478,1289515.5,-4670298.5,4134180.75
479,1289523.0,-4670298.0,4134180.5
480,1289515.125,-4670298.5,4134181.0
481,1289522.75,-4670298.0,4134180.5
482,1289514.75,-4670298.5,4134181.5
483,1289522.5,-4670298.0,4134180.5
484,1289497.75,-4670299.0,4134183.25
485,1289522.0,-4670298.0,4134180.5
486,1289514.875,-4670298.5,4134182.0
487,1289521.375,-4670298.0,4134180.5
488,1289520.125,-4670298.0,4134180.5
489,1289461.75,-4670300.0,4134193.0
490,1289517.875,-4670298.5,4134180.5
491,1289515.875,-4670298.5,4134180.75
492,1289523.0,-4670298.0,4134180.5
493,1289515.125,-4670298.5,4134181.0
494,1289522.75,-4670298.0,4134180.5
495,1289513.625,-4670298.5,4134181.5
496,1289522.5,-4670298.0,4134180.5
497,1289493.5,-4670299.0,4134183.75
498,1289522.0,-4670298.0,4134180.5
499,1289481.25,-4670299.5,4134186.25
500,1289521.375,-4670298.0,4134180.5
501,1289520.25,-4670298.0,4134180.5
502,1289517.625,-4670298.5,4134180.5
503,1289515.75,-4670298.5,4134180.75
504,1289523.0,-4670298.0,4134180.5
505,1289515.5,-4670298.5,4134181.0
506,1289522.75,-4670298.0,4134180.5
507,1289513.25,-4670298.5,4134181.5
508,1289522.5,-4670298.0,4134180.5
509,1289497.75,-4670299.0,4134183.25
510,1289522.0,-4670298.0,4134180.5
511,1289481.25,-4670299.0,4134186.25
512,1289521.375,-4670298.0,4134180.5
513,1289520.125,-4670298.0,4134180.5
514,1289518.375,-4670298.0,4134180.5
515,1289514.25,-4670298.5,4134180.75
516,1289523.0,-4670298.0,4134180.5
517,1289515.125,-4670298.5,4134181.0
518,1289522.75,-4670298.0,4134180.5
519,1289513.5,-4670298.5,4134181.5
520,1289522.5,-4670298.0,4134180.5
521,1289514.75,-4670298.5,4134181.75
522,1289522.0,-4670298.0,4134180.5
523,1289521.375,-4670298.0,4134180.5
524,1289482.125,-4670299.0,4134187.75
525,1289520.125,-4670298.0,4134180.5
526,1289517.5,-4670298.0,4134180.5
527,1289470.875,-4670299.5,4134193.25
528,1289515.25,-4670298.5,4134180.75
